15.
     0.000     3.600     2.118
     0.500     3.800     2.235
     1.000     4.000     2.353
     1.500     4.200     2.471
     2.000     4.400     2.588
     3.000     4.800     2.824
     4.000     5.200     3.059
     6.000     5.600     3.294
     8.000     6.280     3.694
    23.000     6.890     4.053MOHO
    38.800     7.400     4.353
    48.000     7.760     4.565
    58.000     7.940     4.671
    93.000     8.340     4.906
